,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
funk_carioca,funk carioca,1,funk_carioca,72.0,0.722,0.738,1.47e-05,0.198,0.247,-6.073,198.075,0.748
funk_das_antigas,funk das antigas,1,funk_das_antigas,72.0,0.722,0.738,1.47e-05,0.198,0.247,-6.073,198.075,0.748
funk_ostentacao,funk ostentacao,1,funk_ostentacao,72.0,0.722,0.738,1.47e-05,0.198,0.247,-6.073,198.075,0.748
funk_pop,funk pop,2,funk_pop,65.0,0.707,0.6885,7.35e-06,0.1985,0.1411,-6.395,169.067,0.7404999999999999
outlaw_country,outlaw country,1,outlaw_country,72.0,0.707,0.632,1.09e-05,0.0841,0.0789,-7.031,97.04,0.372
canadian_electronic,canadian electronic,1,canadian_electronic,72.0,0.747,0.834,0.0,0.0586,0.045,-2.867,128.005,0.687
country_rock,country rock,1,country_rock,78.0,0.878,0.619,0.0,0.113,0.102,-5.56,136.041,0.639
dark_clubbing,dark clubbing,1,dark_clubbing,84.0,0.658,0.671,0.000927,0.115,0.0363,-12.21,100.966,0.166
brooklyn_drill,brooklyn drill,3,brooklyn_drill,53.666666666666664,0.7543333333333333,0.5263333333333334,9.966666666666667e-07,0.11293333333333333,0.30096666666666666,-7.752333333333333,118.99266666666665,0.341
azontobeats,azontobeats,1,azontobeats,79.0,0.812,0.496,0.0,0.0955,0.297,-5.969,109.979,0.55
k-pop,k-pop,12,k-pop,62.0,0.6928333333333333,0.7186666666666666,0.0001895225,0.17170833333333332,0.09241666666666666,-5.499583333333334,126.7075,0.6134166666666666
k-pop_boy_group,k-pop boy group,6,k-pop_boy_group,41.666666666666664,0.6976666666666667,0.7155,0.0,0.16796666666666668,0.07680000000000001,-5.081333333333333,114.65749999999998,0.6768333333333333
pop_reggaeton,pop reggaeton,5,pop_reggaeton,82.6,0.7858,0.6816,0.00012762399999999998,0.13304,0.18862,-4.8652,133.2384,0.47780000000000006
trap_boricua,trap boricua,2,trap_boricua,75.0,0.7965,0.8055000000000001,0.004409499999999999,0.1091,0.1071,-3.929,98.507,0.6575
minnesota_hip_hop,minnesota hip hop,3,minnesota_hip_hop,71.33333333333333,0.7413333333333334,0.758,0.0,0.3276666666666666,0.09649999999999999,-3.9166666666666665,124.35366666666665,0.518
k-pop_girl_group,k-pop girl group,3,k-pop_girl_group,81.33333333333333,0.7833333333333333,0.7326666666666667,0.0007390733333333334,0.22666666666666666,0.08913333333333333,-5.877666666666667,126.283,0.7033333333333333
alternative_pop_rock,alternative pop rock,1,alternative_pop_rock,75.0,0.815,0.518,0.0,0.104,0.0897,-6.594,151.891,0.877
argentine_hip_hop,argentine hip hop,3,argentine_hip_hop,82.0,0.722,0.7076666666666668,0.011000000000000001,0.132,0.1431,-5.206,140.71,0.5893333333333334
trap_argentino,trap argentino,3,trap_argentino,82.0,0.722,0.7076666666666668,0.011000000000000001,0.132,0.1431,-5.206,140.71,0.5893333333333334
black_americana,black americana,1,black_americana,73.0,0.659,0.625,0.0,0.582,0.045,-2.253,88.042,0.442
panamanian_pop,panamanian pop,1,panamanian_pop,72.0,0.746,0.7,0.000159,0.11,0.341,-4.669,176.044,0.619
ukg_revival,ukg revival,1,ukg_revival,70.0,0.902,0.839,0.0,0.102,0.208,-9.447,133.989,0.727
sad_lo-fi,sad lo-fi,1,sad_lo-fi,83.0,0.726,0.431,0.0,0.696,0.135,-8.765,144.026,0.348
sad_rap,sad rap,1,sad_rap,83.0,0.726,0.431,0.0,0.696,0.135,-8.765,144.026,0.348
bubblegrunge,bubblegrunge,1,bubblegrunge,83.0,0.726,0.431,0.0,0.696,0.135,-8.765,144.026,0.348
rhode_island_rap,rhode island rap,1,rhode_island_rap,78.0,0.621,0.601,0.0,0.46,0.148,-5.616,116.735,0.457
